PD,Cand_Rap,Cand_Pt,Model_Psi2SToMuMuOS_PA8Y16

MINBIAS,-2.4_-1.4,0.0-3.0,SingleGaussian[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,DoubleGaussian[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,SingleCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,GaussianAndCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,DoubleCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,SingleExtCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,GaussianAndExtCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,DoubleExtCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,SingleModExtCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,GaussianAndModExtCrystalBall[Psi2S]
MINBIAS,-2.4_-1.4,0.0-3.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,-2.4_-1.4,3.0-6.5,SingleGaussian[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,DoubleGaussian[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,SingleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,GaussianAndCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,DoubleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,SingleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,GaussianAndExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,DoubleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,SingleModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,3.0-6.5,DoubleModExtCrystalBall[Psi2S]

DIMUON,-2.4_-1.4,6.5-9.0,SingleGaussian[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,DoubleGaussian[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,SingleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,GaussianAndCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,DoubleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,SingleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,DoubleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,SingleModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,6.5-9.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,-2.4_-1.4,9.0-100.0,SingleGaussian[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,DoubleGaussian[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,SingleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,GaussianAndCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,DoubleCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,SingleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,DoubleExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,SingleModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,-2.4_-1.4,9.0-100.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,-1.4-0.0,6.5-9.0,SingleGaussian[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,DoubleGaussian[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,SingleCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,GaussianAndCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,DoubleCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,SingleExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,DoubleExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,SingleModExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,6.5-9.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,-1.4-0.0,9.0-100.0,SingleGaussian[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,DoubleGaussian[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,SingleCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,GaussianAndCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,DoubleCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,SingleExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,DoubleExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,SingleModExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,-1.4-0.0,9.0-100.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,0.0-1.4,6.5-9.0,SingleGaussian[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,DoubleGaussian[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,SingleCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,GaussianAndCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,DoubleCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,SingleExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,DoubleExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,SingleModExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,6.5-9.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,0.0-1.4,9.0-100.0,SingleGaussian[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,DoubleGaussian[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,SingleCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,GaussianAndCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,DoubleCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,SingleExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,DoubleExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,SingleModExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,0.0-1.4,9.0-100.0,DoubleModExtCrystalBall[Psi2S]

MINBIAS,1.4-2.4,0.0-3.0,SingleGaussian[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,DoubleGaussian[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,SingleCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,GaussianAndCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,DoubleCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,SingleExtCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,GaussianAndExtCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,DoubleExtCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,SingleModExtCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,GaussianAndModExtCrystalBall[Psi2S]
MINBIAS,1.4-2.4,0.0-3.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,1.4-2.4,3.0-6.5,SingleGaussian[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,DoubleGaussian[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,SingleCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,GaussianAndCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,DoubleCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,SingleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,GaussianAndExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,DoubleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,SingleModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,3.0-6.5,DoubleModExtCrystalBall[Psi2S]

DIMUON,1.4-2.4,6.5-9.0,SingleGaussian[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,DoubleGaussian[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,SingleCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,GaussianAndCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,DoubleCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,SingleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,DoubleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,SingleModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,GaussianAndModExtCrystalBall[Psi2S]
