Cut,PD,Cand_RapCM,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.3374],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;-1.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.0124],[8.0],[1.3],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.2;0.0;1.0],[0.041;0.003;0.120],[1.1973],[1.3676],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2908],[1.3519],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2515],[1.5096],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.3847],[1.4229],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.050],[1.1827],[1.3767],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.050],[1.1827],[1.3767],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.050],[1.1827],[1.3767],[11.0],[1.5],[1.9]
NonPromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.050],[1.1827],[1.3767],[11.0],[1.5],[1.9]
