Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev4[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev5[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev6[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.5;2.5],[1.4;0.0;3.0],[10.41],[1.46],[2.13]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[23.28],[1.49],[2.01]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[23.28],[1.49],[2.01]
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+ExpChebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[23.28],[1.49],[2.01]
