Cut,PD,Cand_RapCM,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16,R_Psi2SToMuMuOS_PA8Y16,N_BkgToMuMuOS_PA8Y16,N_JPsiToMuMuOS_PA8Y16,m_JPsiToMuMuOS_PA8Y16,Lambda1_BkgToMuMuOS_PA8Y16,Lambda2_BkgToMuMuOS_PA8Y16,Lambda3_BkgToMuMuOS_PA8Y16,Lambda4_BkgToMuMuOS_PA8Y16
NonPromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.6;-1.0;1.0],[0.04631],[1.5;0.2;3.0],[1.35875],[8;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[0.4;-0.2;1.0],[102007;0;212166],[4182.22;0;212166],[3.09334],[-1.20739],[0.38634],[-0.06773],
NonPromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;1.0],[0.04891],[1.5;0.2;3.0],[1.01244],[8;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],,[81794.3;0;177390],[6834.44;0;177390],[3.09629],[-0.99195],[0.28236],[-0.08604],[0.04192]
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.47161],[0.04510],[1.19734],[1.36758],[11;0.5;50],[1.47],[1.9;1.05;4.5],,[110053;0;291024],[34327.5;0;291024],[3.09342],[-0.60138],[0.11539],[-0.02066],
NonPromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.50724],[0.04336],[1.21457],[1.33689],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[92078.9;0;278572],[45689.3;0;278572],[3.09243],[-0.72879],[0.17442],[-0.02679],
NonPromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.58272],[0.04323],[1.20588],[1.45266],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[91989.7;0;335336],[73226.3;0;335336],[3.09284],[-0.80138],[0.21883],[-0.02560],
NonPromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.49188],[0.03952],[1.31748],[1.36408],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[47402.9;0;210584],[56121.1;0;210584],[3.09314],[-0.88259],[0.25342],[-0.04014],
NonPromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.66300],[0.04257],[1.10920],[1.34504],[11;0.5;50],[1.5;0.8;3],[1.9;1.05;3.5],,[28522.9;0;151768],[45623.8;0;151768],[3.09336],[-0.97774],[0.30192],[-0.05422],
NonPromptDecay,DIMUON,NONE,1.4-2.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.43740],[0.03826],[1.27412],[1.23365],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[13800;0;76956],[23690.6;0;76956],[3.09321],[-1.05417],[0.32860],[-0.03905],
NonPromptDecay,DIMUON,NONE,1.4-2.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.59187],[0.03982],[1.31990],[1.50455],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[17171.6;0;102922],[32844.8;0;102922],[3.09316],[-1.11392],[0.36780],[-0.04728],
NonPromptDecay,DIMUON,NONE,1.4-2.4,3.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.54571],[0.04179],[1.23811],[1.38083],[11;5.0;20],[1.4708],[2.0819],,[401187;0;1.44716e+06],[311337;0;1.44716e+06],[3.09304],[-0.77760],[0.20175],[-0.02899],
NonPromptDecay,DIMUON,NONE,0.0-1.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.56291],[0.02421],[1.55490],[1.65806],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],,[23653.5;0;114660],[32219.8;0;114660],[3.09507],[-0.53993],[0.18620],,
NonPromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.58660],[0.02209],[1.52617],[1.51347],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],,[26532.6;0;154292],[48569.7;0;154292],[3.09545],[-0.91531],[0.27678],,
NonPromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.54816],[0.02080],[1.63993],[1.77499],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],,[17045.3;0;104008],[33523.4;0;104008],[3.09593],[-1.06252],[0.32966],,
NonPromptDecay,DIMUON,NONE,0.0-1.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.67087],[0.02294],[1.44749],[1.54675],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],,[27274.3;0;179238],[59661.2;0;179238],[3.09541],[-1.18205],[0.37866],[-0.04474],
NonPromptDecay,DIMUON,-2.86_-2.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.44712],[0.05033],[1.15119],[1.25229],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[13700;0;73302],[22114.5;0;73302],[3.09295],[-1.06105],[0.35930],[-0.07687],
NonPromptDecay,DIMUON,-2.4_-1.93,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.59852],[0.03915],[1.18219],[1.46040],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[29534.6;0;146930],[42355.7;0;146930],[3.09371],[-0.92834],[0.27243],[-0.04686],
NonPromptDecay,DIMUON,-1.93_-1.6,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.38954],[0.03200],[1.24164],[1.47683],[7;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],,[17892.3;0;94248],[28020.7;0;94248],[3.09447],[-0.73045],[0.23051],,
NonPromptDecay,DIMUON,-1.6_-1.2,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35946],[0.02413],[1.39295],[1.69710],[7;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],,[13643.3;0;80818],[25606.9;0;80818],[3.09603],[-0.92694],[0.27084],,
NonPromptDecay,DIMUON,-1.2_-0.8,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.36814],[0.01903],[1.26821],[1.55653],[9;0.5;50],[1.2;0.8;3],[1.7;0.5;3.5],,[9787.87;0;61982],[20343;0;61982],[3.09596],[-1.04501],[0.32684],,
NonPromptDecay,DIMUON,-0.8_-0.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35538],[0.01645],[1.19624],[1.49560],[9;0.5;50],[1.2;0.8;3],[1.7;0.5;3.5],,[8885.22;0;55530],[18047.2;0;55530],[3.09558],[-1.07429],[0.31534],,
NonPromptDecay,DIMUON,-0.4_-0.0,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33683],[0.01792],[1.12252],[1.40550],[9;0.5;50],[1.1;0.8;3],[1.7;0.5;3.5],,[9356.96;0;58882],[19257.7;0;58882],[3.09589],[-1.04833],[0.31826],,
NonPromptDecay,DIMUON,0.0_0.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.50376],[0.02235],[1.23809],[1.81003],[9;0.5;50],[1.5;0.8;3],[1.7;0.5;3.5],,[11801.7;0;71860],[23108.7;0;71860],[3.09560],[-1.02439],[0.32039],,
NonPromptDecay,DIMUON,0.4_0.8,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.32639],[0.03094],[1.12259],[1.54487],[9;0.5;50],[1.2;0.8;3],[2;0.5;3.5],,[18148.2;0;103676],[32260.2;0;103676],[3.09536],[-0.85960],[0.29204],,
NonPromptDecay,DIMUON,0.8_1.2,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.31881],[0.03715],[1.08153],[1.47534],[9;0.5;50],[1.2;0.8;3],[2;0.5;3.5],,[29645.6;0;149880],[43527.9;0;149880],[3.09352],[-0.83389],[0.24795],,
NonPromptDecay,DIMUON,1.2_1.6,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.48791],[0.04128],[1.20036],[1.43259],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[28129.7;0;141412],[41038.6;0;141412],[3.09352],[-1.02347],[0.30770],[-0.04136],
NonPromptDecay,DIMUON,1.6_1.93,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.29395],[0.04243],[1.49017],[1.04868],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],,[11067.6;0;55892],[16297.1;0;55892],[3.09344],[-1.09342],[0.34654],[-0.05028],
