Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16,N_BkgToMuMuOS_PA8Y16,N_JPsiToMuMuOS_PA8Y16,m_JPsiToMuMuOS_PA8Y16,Lambda1_BkgToMuMuOS_PA8Y16,Lambda2_BkgToMuMuOS_PA8Y16,Lambda3_BkgToMuMuOS_PA8Y16,Lambda4_BkgToMuMuOS_PA8Y16
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.49163],[0.04413],[1.20467],[1.34476],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[202132;0;569596],[80011.5;0;569596],[3.09284],[-0.66002],[0.14257],[-0.02324],
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.58272],[0.04323],[1.20588],[1.45266],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[91989.7;0;335336],[73226.3;0;335336],[3.09284],[-0.80138],[0.21883],[-0.02560],
NonPromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.65068],[0.04612],[1.11231],[1.33488],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[150041;0;457458],[76095.7;0;457458],[3.09284],[-0.70479],[0.16801],[-0.02837],
NonPromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.43602],[0.04157],[1.27557],[1.53570],[7;1.0;50],[1.47],[2.17;0.4;3.5],[143795;0;447474],[77402.5;0;447474],[3.09288],[-0.70495],[0.16648],[-0.02048],
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,6.5-9.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.56683],[0.04087],[1.24283],[1.34469],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[64381.6;0;299422],[82495.8;0;299422],[3.09329],[-0.90613],[0.26573],[-0.04617],
NonPromptDecay,DIMUON,NONE,NONE,1.4-2.4,9.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.55405],[0.03993],[1.25888],[1.38463],[11;0.5;50],[1.5;0.8;3],[1.9;1.05;3.5],[42447.6;0;242808],[75854.9;0;242808],[3.09312],[-1.06053],[0.33847],[-0.04413],
NonPromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.57546],[0.04048],[1.25261],[1.36992],[11;1.0;50],[1.5;1.0;3],[1.9;1.0;3.5],[47499.8;0;240860],[70318.4;0;240860],[3.09334],[-0.95068],[0.28861],[-0.05199],
NonPromptDecay,DIMUON,NONE,1.4_2.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.54841],[0.04037],[1.24870],[1.35679],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[59340.8;0;301370],[88016;0;301370],[3.09310],[-0.98265],[0.30022],[-0.03974],
NonPromptDecay,DIMUON,NONE,NONE,0.0-1.4,6.5-9.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.57874],[0.02333],[1.57980],[1.67937],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[38176.7;0;197174],[57889;0;197174],[3.09533],[-0.66451],[0.20953],,
NonPromptDecay,DIMUON,NONE,NONE,0.0-1.4,9.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.58034],[0.02163],[1.53297],[1.56915],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[56943.2;0;355024],[115437;0;355024],[3.09555],[-1.10121],[0.32990],[0.00342],[-0.02224]
NonPromptDecay,DIMUON,-1.93_0.0,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.67294],[0.02140],[1.58612],[1.55588],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[59496.6;0;351460],[111369;0;351460],[3.09549],[-0.93851],[0.28919],[-0.01477],
NonPromptDecay,DIMUON,0.0_1.93,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.52838],[0.03062],[1.40850],[1.22336],[9;0.5;50],[1.3;0.8;3],[2;0.5;3.5],[97976.1;0;522720],[157015;0;522720],[3.09425],[-0.94545],[0.29360],[-0.02596],
NonPromptDecay,DIMUON,-2.86_-1.93,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.58707],[0.04114],[1.26153],[1.37538],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[43308.4;0;220232],[64413.2;0;220232],[3.09347],[-0.96870],[0.29571],[-0.05410],
NonPromptDecay,DIMUON,-1.93_-1.2,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.39763],[0.02741],[1.35107],[1.50326],[7;1.0;50],[1.3;1.0;3],[1.9;0.5;3.5],[31521.4;0;175066],[53639.1;0;175066],[3.09527],[-0.81567],[0.24749],,
