Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
NonPromptDecay[0.85],DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.41709],[0.048;0.020;0.120],[1.2;0.2;1.8],[1.34;0.4;2.4],[10.41],[1.46],[2.13]
NonPromptDecay[0.85],DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33;0.0;1.0],[0.036;0.026;0.052],[1.3;0.9;1.9],[1.4;0.0;3.0],[23.28],[1.49],[2.01]
NonPromptDecay[0.85],DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.38;-0.3;1.5],[0.043;0.010;0.120],[1.2;0.2;3.0],[1.65;0.1;3.9],[10.76],[1.46],[2.13]
NonPromptDecay[0.85],DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.38;0.0;1.0],[0.043;0.010;0.070],[1.2;0.6;3.0],[1.65;0.1;3.9],[11.34],[1.47],[2.11]
NonPromptDecay[0.85],DIMUON,NONE,NONE,1.4-2.4,6.5-9.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;6.0],[1.4;0.0;3.0],[11.06],[1.48],[1.98]
NonPromptDecay[0.85],DIMUON,NONE,NONE,1.4-2.4,9.0-50.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;6.0],[1.4;0.0;3.0],[10.52],[1.48],[2.01]
NonPromptDecay[0.85],DIMUON,NONE,-2.4_-1.4,NONE,6.5-50.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;6.0],[1.4;0.0;3.0],[10.17],[1.47],[2.02]
NonPromptDecay[0.85],DIMUON,NONE,1.4_2.4,NONE,6.5-50.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;6.0],[1.4;-1.0;4.0],[11.04],[1.50],[1.93]
NonPromptDecay[0.85],DIMUON,NONE,NONE,0.0-1.4,6.5-9.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.5;0.0;3.0],[7.01],[1.50],[1.76]
NonPromptDecay[0.85],DIMUON,NONE,NONE,0.0-1.4,9.0-50.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;3.0],[1.5;0.0;3.0],[7.12],[1.48],[1.86]
NonPromptDecay[0.85],DIMUON,-1.93_0.0,NONE,NONE,6.5-50.0,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33;0.0;1.0],[0.030;0.010;0.050],[1.5;1.0;2.1],[1.5;0.0;3.0],[6.57],[1.48],[1.85]
