Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16,N_BkgToMuMuOS_PA8Y16,N_JPsiToMuMuOS_PA8Y16,m_JPsiToMuMuOS_PA8Y16,Lambda1_BkgToMuMuOS_PA8Y16,Lambda2_BkgToMuMuOS_PA8Y16,Lambda3_BkgToMuMuOS_PA8Y16,Lambda4_BkgToMuMuOS_PA8Y16
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.37105],[0.03793],[1.40636],[1.99530],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[633519;0;1.8388e+06],[279576;0;1.8388e+06],[3.08842],[-0.32243],[0.04468],[-0.01011],
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.51231],[0.04094],[1.20766],[1.59050],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[216575;0;875062],[216380;0;875062],[3.08841],[-0.39209],[0.04194],,
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35178],[0.03719],[1.41027],[2.82199],[11;1.0;50],[1.5;0.8;3],[1.9382],[466638;0;1.44676e+06],[251399;0;1.44676e+06],[3.08835],[-0.35667],[0.04397],,
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.44130],[0.03909],[1.32155],[1.67725],[11;1.0;50],[1.5;0.8;3],[1.9382],[386367;0;1.2671e+06],[241385;0;1.2671e+06],[3.08865],[-0.32021],[0.04069],,
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,6.5-9.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.50126],[0.03955],[1.23295],[1.53672],[11;1.0;50],[1.5;0.8;3],[1.9;0.5;3.5],[103532;0;625900],[203909;0;625900],[3.08896],[-0.27010],[0.01861],,
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,9.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.56332],[0.03962],[1.22370],[1.42322],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[33296.3;0;326680],[125646;0;326680],[3.08947],[-0.20472],[0.06427],[-0.06558],[0.04392]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.49435],[0.03891],[1.25928],[1.48312],[11;1.0;50],[1.5;0.8;3],[1.9;0.5;3.5],[66241.5;0;453502],[155877;0;453502],[3.08920],[-0.24696],[0.02983],,
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.50568],[0.03920],[1.23876],[1.51512],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[72002.8;0;499078],[172279;0;499078],[3.08917],[-0.26606],,,
PromptDecay,DIMUON,NONE,NONE,0.0-1.4,6.5-9.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.53510],[0.02218],[1.60103],[1.91131],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[52791;0;379338],[132718;0;379338],[3.09248],[0.25949],,,
PromptDecay,DIMUON,NONE,NONE,0.0-1.4,9.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.59839],[0.02077],[1.56959],[1.67213],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[32294.1;0;416880],[169646;0;416880],[3.09326],[-0.12101],[0.04275],,
PromptDecay,DIMUON,-1.93_0.0,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.57892],[0.01977],[1.66324],[1.95737],[2.97;0.5;50],[1.48;0.8;3],[1.72;0.5;3.5],[53565.2;0;513192],[196081;0;513192],[3.09307],[0.12087],[0.02912],,
PromptDecay,DIMUON,0.0_1.93,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.52641],[0.03056],[1.39304],[1.42625],[7.21;0.5;50],[1.21;0.8;3],[2.73;0.5;3.5],[109027;0;817900],[290520;0;817900],[3.09125],[-0.14764],,,
PromptDecay,DIMUON,-2.86_-1.93,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.48967],[0.03949],[1.25965],[1.50732],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[60849.5;0;417684],[143754;0;417684],[3.08917],[-0.27954],[0.03558],,
PromptDecay,DIMUON,-1.93_-1.2,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.38107],[0.02758],[1.27231],[1.52230],[7;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[34798.6;0;280894],[102193;0;280894],[3.09206],[0.21062],[0.00317],,
PromptDecay,DIMUON,-1.2_-0.6,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.36872],[0.01681],[1.28657],[1.49301],[9;0.5;50],[1.2;0.8;3],[1.7;0.5;3.5],[9650.91;0;120588],[48858;0;120588],[3.09350],[-0.02627],[0.08172],,
PromptDecay,DIMUON,-0.6_0.0,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.32060],[0.01481],[1.29190],[1.51001],[9;0.5;50],[1.1;0.8;3],[1.7;0.5;3.5],[9175.15;0;111710],[45026.5;0;111710],[3.09358],,,,
PromptDecay,DIMUON,0.0_0.6,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.49214],[0.02232],[1.33468],[1.81659],[9;0.5;50],[1.5;0.8;3],[1.7;0.5;3.5],[15039.8;0;160854],[63089;0;160854],[3.09298],[0.06008],,,
PromptDecay,DIMUON,0.6_1.2,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.31829],[0.03411],[1.12987],[1.56878],[9;0.5;50],[1.2;0.8;3],[2;0.5;3.5],[45839.9;0;325508],[113234;0;325508],[3.09103],[0.06036],[-0.02390],,
PromptDecay,DIMUON,1.2_1.93,NONE,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.48299],[0.04128],[1.24629],[1.44043],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[46635.5;0;331538],[115530;0;331538],[3.08879],[-0.36975],[0.04792],,
