Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
PromptDecay[0.95],DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33;0.0;1.0],[0.030;0.020;0.060],[1.5;0.4;3.0],[1.4;0.0;3.0],[6.99],[1.50],[1.96]
PromptDecay[0.95],DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.2;0.6;3.0],[1.4;0.0;3.0],[9.55],[1.48],[1.95]
PromptDecay[0.95],DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33;0.0;1.0],[0.039;0.003;0.050],[1.4;0.4;3.0],[1.4;0.0;4.0],[5.58],[1.51],[1.94]
PromptDecay[0.95],DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.33;0.0;1.0],[0.030;0.020;0.060],[1.5;0.6;2.1],[1.4;0.0;3.0],[8.81],[1.49],[1.94]
PromptDecay[0.95],DIMUON,NONE,NONE,1.4-2.4,6.5-9.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[11.48],[1.49],[1.93]
PromptDecay[0.95],DIMUON,NONE,NONE,1.4-2.4,9.0-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.6;6.0],[1.4;0.0;3.0],[10.64],[1.49],[1.93]
PromptDecay[0.95],DIMUON,NONE,-2.4_-1.4,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[11.56],[1.49],[1.95]
PromptDecay[0.95],DIMUON,NONE,1.4_2.4,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[10.88],[1.50],[1.90]
PromptDecay[0.95],DIMUON,NONE,NONE,0.0-1.4,6.5-9.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.5;0.0;3.0],[6.52],[1.49],[1.79]
PromptDecay[0.95],DIMUON,NONE,NONE,0.0-1.4,9.0-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.5;0.0;3.0],[6.75],[1.50],[1.80]
PromptDecay[0.95],DIMUON,-1.93_0.0,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.33;0.0;1.0],[0.036;0.010;0.050],[1.5;0.7;3.0],[1.5;0.0;3.2],[2.97],[1.48],[1.72]
PromptDecay[0.95],DIMUON,0.0_1.93,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.3;0.0;3.0],[7.32],[1.21],[2.74]
PromptDecay[0.95],DIMUON,-2.86_-1.93,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[16.15],[1.51],[1.90]
PromptDecay[0.95],DIMUON,-1.93_-1.2,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.6;0.0;3.0],[7.02],[1.31],[1.89]
PromptDecay[0.95],DIMUON,-1.2_-0.6,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.2;0.2;6.0],[1.3;0.0;3.0],[7.75],[1.18],[1.78]
PromptDecay[0.95],DIMUON,-0.6_0.0,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[9.24],[1.18],[1.50]
PromptDecay[0.95],DIMUON,0.0_0.6,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.120],[1.5;0.2;6.0],[1.7;0.0;3.0],[9.04],[1.51],[1.67]
PromptDecay[0.95],DIMUON,0.6_1.2,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.33;0.0;1.0],[0.030;0.020;0.050],[1.5;0.6;2.1],[1.4;0.0;3.0],[10.84],[1.20],[2.04]
PromptDecay[0.95],DIMUON,1.2_1.93,NONE,NONE,6.5-50.0,15.0-50.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[10.61],[1.47],[2.05]
