Cut,PD,Cand_RapCM,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
PromptDecay[Psi2S],MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;2.0],[0.045;0.020;0.060],[1.7;0.9;2.5],[1.5;0.0;3.0],[8.0],[1.3],[1.9]
PromptDecay[Psi2S],MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.5;0.0;3.0],[8.0],[1.3],[1.9]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.33;0.0;0.8],[0.037;0.025;0.055],[1.51;0.8;2.0],[2.29],[12.29],[1.49],[2.13]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.35;0.0;1.0],[0.037;0.020;0.060],[1.39;0.4;3.0],[1.8;0.0;5.0],[9.28],[1.49],[1.96]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[9.55],[1.48],[1.95]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[12.89],[1.50],[1.92]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[10.70],[1.50],[1.90]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[11.09],[1.51],[1.87]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.6;0.0;1.0],[0.030;0.003;0.080],[1.5;0.9;6.0],[1.4;0.0;3.0],[10.97],[1.49],[1.99]
PromptDecay[Psi2S],DIMUON,NONE,1.4-2.4,3.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.4;0.0;1.0],[0.037;0.003;0.080],[1.42;0.9;6.0],[1.4;0.5;3.0],[9.90],[1.48],[2.02]
